stn_code,sampling_date,state,location,agency,type,so2,no2,rspm,spm,location_monitoring_station,pm2_5,date
462.0,19/06/2012,Andhra Pradesh,Vijayawada,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",7.0,11.0,100.0,,"Benz Circle, Vijayawada",,2012-06-19
,19/07/2006,Maharashtra,Aurangabad (MS),,Residential and others,4.2,12.4,19.0,69.0,C.A.D.A. Office,,2006-07-19
560,19/07/2011,Daman & Diu,Daman,"Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.6,19.5,,26.0,"Kadaiya Industrial Area, Village- Kadaiya, Daman (Industrial Area)",,2011-07-19
465.0,19/07/2012,Andhra Pradesh,Ramagundam,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2.0,5.0,25.0,,"RTC Bus Depot, Karim Nagar, Ramagundam",,2012-07-19
,19/08/2006,Maharashtra,Aurangabad (MS),,Residential and others,2.7,13.7,43.0,149.0,S.B.E.S. College,,2006-08-19
59,19/08/2011,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",4.0,26.0,136.0,,"Janakpuri, Delhi",,2011-08-19
233.0,19/08/2012,Andhra Pradesh,Visakhapatnam,Andhra Pradesh State Pollution Control Board,Industrial Area,5.0,18.0,123.0,,"Industrial Estate, Marripalem, Visakhapatnam",,2012-08-19
,19/09/2006,Maharashtra,Aurangabad (MS),,Sensitive Areas,4.3,10.0,23.0,45.0,Bibi-Ka-Maqbara,,2006-09-19
558.0,19/09/2011,Dadra & Nagar Haveli,Khadoli,"Daman Diu, Dadra & Nagar Heveli Pollution Control Committee",Industrial Area,7.5,19.0,,39.0,"Khadoli Industrial Area, Village- Khadoli, Silvassa",,2011-09-19
233.0,19/09/2012,Andhra Pradesh,Visakhapatnam,Andhra Pradesh State Pollution Control Board,Industrial Area,4.0,9.0,39.0,,"Industrial Estate, Marripalem, Visakhapatnam",,2012-09-19
,19/1/2006,Andhra Pradesh,Hyderabad,,Industrial Areas,,11.7,60.0,140.0,Nacharam,,2006-01-19
,19/1/2008,Andhra Pradesh,Visakhapatnam,,Industrial Areas,9.2,30.5,103.0,188.0,Industrial Estate,,2008-01-19
,19/1/2009,Andhra Pradesh,Patancheru,,Residential and others,19.4,27.4,185.0,373.0,Police Station,,2009-01-19
582.0,19/1/2011,Andhra Pradesh,Chittoor,Andhra Pradesh State Pollution Control Board,Sensitive Area,4.0,9.0,42.0,120.0,"GNC Toll Gate Tirumala , Chittoor Dist.",,2011-01-19
,19/10/2006,Andhra Pradesh,Hyderabad,,Residential and others,4.8,38.5,123.0,315.0,Paradise,,2006-10-19
,19/10/2008,Andhra Pradesh,Hyderabad,,Industrial Areas,,49.6,23.0,43.0,Nacharam,,2008-10-19
,19/10/2009,Andhra Pradesh,Guntur,,Residential and others,4.0,9.0,84.0,224.0,Hindu College Guntur,,2009-10-19
95.0,19/10/2011,Andhra Pradesh,Hyderabad,Andhra Pradesh State Pollution Control Board,Industrial Area,5.0,45.0,117.0,273.0,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",,2011-10-19
468.0,19/10/2012,Andhra Pradesh,Patancheru,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6.0,22.0,106.0,,"Police Station, Medak, Patencheru",,2012-10-19
,19/11/2006,Andhra Pradesh,Hyderabad,,Industrial Areas,5.1,35.3,107.0,271.0,C.I.T.D. Balanagar,,2006-11-19
,19/11/2008,Andhra Pradesh,Hyderabad,,Industrial Areas,3.4,17.8,48.0,85.0,Nacharam,,2008-11-19
,19/11/2009,Andhra Pradesh,Nalgonda,,Residential and others,4.3,21.6,104.0,231.0,RO APPCB,,2009-11-19
464.0,19/11/2011,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,"Residential, Rural and other Areas",2.0,6.7,137.0,253.0,"Kaimbwala Village, Chandigarh",,2011-11-19
468.0,19/11/2012,Andhra Pradesh,Patancheru,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6.0,19.0,121.0,,"Police Station, Medak, Patencheru",,2012-11-19
,19/12/2006,Andhra Pradesh,Hyderabad,,Sensitive Areas,4.5,18.8,76.0,130.0,Zoo Park,,2006-12-19
,19/12/2008,Andhra Pradesh,Visakhapatnam,,Industrial Areas,6.9,14.5,76.0,151.0,Industrial Estate,,2008-12-19
,19/12/2009,Assam,Guwahati,,Residential and others,9.0,19.3,172.0,307.0,Gopinath Nagar,,2009-12-19
468.0,19/12/2011,Andhra Pradesh,Patancheru,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6.0,21.0,103.0,,"Police Station, Medak, Patencheru",,2011-12-19
578.0,19/12/2012,Andhra Pradesh,Kakinada,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",,,57.0,,"Top of the Office Building Ramanayyapeta, Kakinada",,2012-12-19
,19/2/2006,Andhra Pradesh,Hyderabad,,Industrial Areas,7.4,25.9,69.0,191.0,Nacharam,,2006-02-19
,19/2/2008,Andhra Pradesh,Visakhapatnam,,Industrial Areas,7.7,31.0,78.0,161.0,Industrial Estate,,2008-02-19
,19/2/2009,Andhra Pradesh,Visakhapatnam,,Industrial Areas,64.0,63.5,114.0,251.0,Industrial Estate,,2009-02-19
577.0,19/2/2011,Andhra Pradesh,Nalgonda,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4.0,21.0,86.0,,"Beside Regional Office, APPCB Nalgonda",,2011-02-19
,19/3/2006,Andhra Pradesh,Hyderabad,,Industrial Areas,5.0,25.1,83.0,209.0,Uppal,,2006-03-19
,19/3/2008,Andhra Pradesh,Hyderabad,,Industrial Areas,3.1,10.8,56.0,101.0,Nacharam,,2008-03-19
,19/3/2009,Andhra Pradesh,Visakhapatnam,,Industrial Areas,10.8,48.9,160.0,290.0,Industrial Estate,,2009-03-19
577.0,19/3/2011,Andhra Pradesh,Nalgonda,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4.0,21.0,84.0,,"Beside Regional Office, APPCB Nalgonda",,2011-03-19
642.0,19/3/2012,Maharashtra,Latur,Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",4.0,12.0,165.0,,"Shyamnagar, Terrence of Keshavraj Vidyalaya, Latur",,2012-03-19
,19/4/2006,Andhra Pradesh,Hyderabad,,Residential and others,5.4,30.0,90.0,255.0,Charminar,,2006-04-19
,19/4/2008,Andhra Pradesh,Patancheru,,Residential and others,13.7,48.8,181.0,425.0,Police Station,,2008-04-19
,19/4/2009,Andhra Pradesh,Visakhapatnam,,Industrial Areas,7.7,30.3,56.0,224.0,Industrial Estate,,2009-04-19
583.0,19/4/2011,Andhra Pradesh,Guntur,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4.0,10.1,75.0,191.0,"Near Hindu College, Market Road, Guntur",,2011-04-19
,19/5/2006,Andhra Pradesh,Hyderabad,,Industrial Areas,5.6,26.5,117.0,293.0,C.I.T.D. Balanagar,,2006-05-19
,19/5/2008,Andhra Pradesh,Patancheru,,Residential and others,5.3,24.2,57.0,386.0,Police Station,,2008-05-19
,19/5/2009,Andhra Pradesh,Patancheru,,Residential and others,15.2,24.4,58.0,128.0,Police Station,,2009-05-19
583.0,19/5/2011,Andhra Pradesh,Guntur,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4.0,10.0,74.0,189.0,"Near Hindu College, Market Road, Guntur",,2011-05-19
641.0,19/5/2012,Maharashtra,Latur,Maharashtra State Pollution Control Board,Industrial Area,9.0,20.0,86.0,,"MIDC, Water Works, Latur",,2012-05-19
,19/6/2006,Andhra Pradesh,Hyderabad,,Residential and others,5.2,32.8,91.0,234.0,Charminar,,2006-06-19
,19/6/2008,Andhra Pradesh,Patancheru,,Residential and others,7.7,11.3,71.0,151.0,Police Station,,2008-06-19
,19/6/2009,Andhra Pradesh,Patancheru,,Residential and others,16.7,27.7,89.0,200.0,Police Station,,2009-06-19
150.0,19/6/2011,Andhra Pradesh,Hyderabad,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",2.0,37.0,139.0,,"Tarnaka, NEERI Lab. IICT Campus, Hyderabad",,2011-06-19
642.0,19/6/2012,Maharashtra,Latur,Maharashtra State Pollution Control Board,"Residential, Rural and other Areas",4.0,13.0,123.0,,"Shyamnagar, Terrence of Keshavraj Vidyalaya, Latur",,2012-06-19
,19/7/2006,Andhra Pradesh,Hyderabad,,Residential and others,5.0,27.4,93.0,278.0,Paradise,,2006-07-19
,19/7/2008,Andhra Pradesh,Visakhapatnam,,Industrial Areas,8.3,19.8,42.0,92.0,Industrial Estate,,2008-07-19
,19/7/2009,Andhra Pradesh,Patancheru,,Residential and others,19.2,29.7,65.0,169.0,Police Station,,2009-07-19
583.0,19/7/2011,Andhra Pradesh,Guntur,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2.0,9.8,75.0,183.0,"Near Hindu College, Market Road, Guntur",,2011-07-19
,19/8/2006,Andhra Pradesh,Hyderabad,,Residential and others,5.2,30.7,76.0,245.0,Charminar,,2006-08-19
,19/8/2008,Andhra Pradesh,Hyderabad,,Residential and others,5.2,35.0,110.0,340.0,Charminar,,2008-08-19
,19/8/2009,Andhra Pradesh,Patancheru,,Residential and others,13.0,30.5,75.0,189.0,Police Station,,2009-08-19
582.0,19/8/2011,Andhra Pradesh,Chittoor,Andhra Pradesh State Pollution Control Board,Sensitive Area,4.0,9.0,42.0,100.0,"GNC Toll Gate Tirumala , Chittoor Dist.",,2011-08-19
,19/9/2006,Andhra Pradesh,Hyderabad,,Residential and others,4.0,19.6,51.0,114.0,Mourya Inn,,2006-09-19
,19/9/2008,Andhra Pradesh,Hyderabad,,Industrial Areas,5.3,16.9,42.0,79.0,Nacharam,,2008-09-19
,19/9/2009,Andhra Pradesh,Nalgonda,,Residential and others,4.8,24.6,92.0,202.0,RO APPCB,,2009-09-19
582.0,19/9/2011,Andhra Pradesh,Chittoor,Andhra Pradesh State Pollution Control Board,Sensitive Area,4.0,9.0,38.0,98.0,"GNC Toll Gate Tirumala , Chittoor Dist.",,2011-09-19
47,2/1/1987,Gujarat,Baroda,Gujarat Pollution Control Board,Residential,24.4,34.3,,301.0,,,1987-01-02
36,2/1/1988,Goa,Ponda,Goa Pollution Control Board,,8.7,16.1,,95.0,,,1988-01-02
84.0,2/1/2003,Madhya Pradesh,Nagda,Madhya Pradesh  Pollution Control Board,"Residential, Rural and other Areas",0.0,0.0,0.0,0.0,,,2003-01-02
233.0,2/1/2004,Andhra Pradesh,Visakhapatnam,Andhra Pradesh State Pollution Control Board,Industrial Area,9.0,33.0,96.0,140.0,"Industrial Estate, Marripalem, Visakhapatnam",,2004-01-02
,2/1/2005,Andhra Pradesh,Hyderabad,,Industrial Areas,12.0,29.8,23.0,62.0,Nacharam,,2005-01-02
,2/1/2006,Andhra Pradesh,Vijayawada,,Industrial Areas,4.9,25.5,101.0,257.0,Autonagar,,2006-01-02
,2/1/2007,Andhra Pradesh,Hyderabad,,Industrial Areas,,,91.0,132.0,Nacharam,,2007-01-02
,2/1/2008,Andhra Pradesh,Hyderabad,,Industrial Areas,3.6,17.2,76.0,135.0,Nacharam,,2008-01-02
,2/1/2009,Andhra Pradesh,Visakhapatnam,,Industrial Areas,13.9,39.8,62.0,156.0,Industrial Estate,,2009-01-02
465.0,2/1/2010,Andhra Pradesh,Ramagundam,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2.0,12.0,139.0,,"RTC Bus Depot, Karim Nagar, Ramagundam",,2010-01-02
577.0,2/1/2011,Andhra Pradesh,Nalgonda,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5.0,20.0,86.0,,"Beside Regional Office, APPCB Nalgonda",,2011-01-02
578.0,2/1/2012,Andhra Pradesh,Kakinada,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",,,56.0,,"Top of the Office Building Ramanayyapeta, Kakinada",,2012-01-02
751.0,2/1/2013,Andhra Pradesh,Srikakulam,Andhra Pradesh State Pollution Control Board,Industrial Area,2.0,5.0,85.0,,"IDA, Pydibheemavaram, Srikakulam",,2013-01-02
55,2/10/2003,Delhi,Delhi,Central Pollution Control Board,Industrial Area,11.0,51.0,,245.0,,,2003-10-02
233.0,2/10/2004,Andhra Pradesh,Visakhapatnam,Andhra Pradesh State Pollution Control Board,Industrial Area,8.0,32.0,80.0,127.0,"Industrial Estate, Marripalem, Visakhapatnam",,2004-10-02
,2/10/2005,Andhra Pradesh,Hyderabad,,Industrial Areas,6.0,22.8,48.0,119.0,Nacharam,,2005-10-02
,2/10/2006,Andhra Pradesh,Hyderabad,,Industrial Areas,6.0,37.0,151.0,361.0,C.I.T.D. Balanagar,,2006-10-02
,2/10/2007,Andhra Pradesh,Hyderabad,,Industrial Areas,5.5,37.3,68.0,337.0,C.I.T.D. Balanagar,,2007-10-02
,2/10/2008,Andhra Pradesh,Hyderabad,,Industrial Areas,5.2,31.8,132.0,336.0,Uppal,,2008-10-02
,2/10/2009,Andhra Pradesh,Hyderabad,,Industrial Areas,4.9,27.7,138.0,366.0,C.I.T.D. Balanagar,,2009-10-02
583.0,2/10/2010,Andhra Pradesh,Guntur,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2.0,12.0,83.0,,"Near Hindu College, Market Road, Guntur",,2010-10-02
582.0,2/10/2011,Andhra Pradesh,Chittoor,Andhra Pradesh State Pollution Control Board,Sensitive Area,4.0,9.0,38.0,109.0,"GNC Toll Gate Tirumala , Chittoor Dist.",,2011-10-02
466.0,2/10/2012,Andhra Pradesh,Kurnool,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4.0,9.0,49.0,,"Mourya Inn, Kurnool",,2012-10-02
751.0,2/10/2013,Andhra Pradesh,Srikakulam,Andhra Pradesh State Pollution Control Board,Industrial Area,2.0,5.0,34.0,,"IDA, Pydibheemavaram, Srikakulam",,2013-10-02
63.0,2/11/1987,Punjab,Ludhiana,Punjab Pollution Control Board,Residential,,,,414.0,,,1987-11-02
18.0,2/11/1988,Rajasthan,Kota,Rajasthan Pollution Control Board,Sensitive,18.6,74.1,,191.0,,,1988-11-02
58,2/11/2003,Delhi,Delhi,Central Pollution Control Board,Industrial Area,14.0,38.0,119.0,343.0,,,2003-11-02
193.0,2/11/2004,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",2.3,17.7,199.0,,"Head Office, Bamunimaidan, Guwahati",,2004-11-02
,2/11/2005,Andhra Pradesh,Hyderabad,,Industrial Areas,4.8,31.1,107.0,271.0,C.I.T.D. Balanagar,,2005-11-02
,2/11/2006,Andhra Pradesh,Hyderabad,,Residential and others,5.1,32.4,132.0,303.0,Charminar,,2006-11-02
,2/11/2007,Andhra Pradesh,Hyderabad,,Industrial Areas,6.4,14.5,42.0,104.0,Nacharam,,2007-11-02
,2/11/2008,Andhra Pradesh,Hyderabad,,Industrial Areas,2.4,7.7,43.0,93.0,Nacharam,,2008-11-02
,2/11/2009,Andhra Pradesh,Hyderabad,,Residential and others,5.2,28.3,119.0,343.0,Charminar,,2009-11-02
582.0,2/11/2010,Andhra Pradesh,Chittoor,Andhra Pradesh State Pollution Control Board,Sensitive Area,4.0,9.0,40.0,,"GNC Toll Gate Tirumala , Chittoor Dist.",,2010-11-02
95.0,2/11/2011,Andhra Pradesh,Hyderabad,Andhra Pradesh State Pollution Control Board,Industrial Area,5.0,28.0,149.0,334.0,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",,2011-11-02
566.0,2/11/2012,Assam,Daranga,Assam State Pollution Control Board,"Residential, Rural and other Areas",5.5,14.0,62.0,,"Daranga, Baska district, BATAD,Assam near Sandoop Jhankar town of Bhutan",,2012-11-02
520.0,2/11/2013,Assam,Bongaigaon,Assam State Pollution Control Board,"Residential, Rural and other Areas",6.0,13.0,46.0,,"Barpara Office Building, Bongaigaon",,2013-11-02
144,2/12/2003,Delhi,Delhi,,"Residential, Rural and other Areas",6.0,65.0,,339.0,,,2003-12-02
217.0,2/12/2004,Assam,Guwahati,Assam State Pollution Control Board,"Residential, Rural and other Areas",4.2,20.2,290.0,,"Paltanbazar, Guwahati",,2004-12-02
,2/12/2005,Bihar,Patna,,Residential and others,11.8,16.1,71.0,132.0,Beltron Bhawan,,2005-12-02
,2/12/2006,Andhra Pradesh,Hyderabad,,Industrial Areas,5.9,29.2,135.0,286.0,Uppal,,2006-12-02
,2/12/2007,Assam,Bongaigaon,,Residential and others,2.8,7.9,39.0,60.0,Barpara Office Bldg,,2007-12-02
,2/12/2008,Andhra Pradesh,Patancheru,,Residential and others,8.2,25.5,135.0,461.0,Police Station,,2008-12-02
,2/12/2009,Andhra Pradesh,Hyderabad,,Industrial Areas,3.2,7.7,71.0,212.0,Nacharam,,2009-12-02
468.0,2/12/2010,Andhra Pradesh,Patancheru,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",10.0,21.0,96.0,,"Police Station, Medak, Patencheru",,2010-12-02
464.0,2/12/2011,Chandigarh,Chandigarh,Chandigarh Pollution Control Committee,"Residential, Rural and other Areas",2.0,14.0,49.0,83.0,"Kaimbwala Village, Chandigarh",,2011-12-02
95.0,2/12/2012,Andhra Pradesh,Hyderabad,Andhra Pradesh State Pollution Control Board,Industrial Area,5.0,25.0,124.0,,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",,2012-12-02
542.0,2/12/2013,Assam,Bongaigaon,Assam State Pollution Control Board,"Residential, Rural and other Areas",6.0,13.0,57.0,,"Campus of Oil India Ltd. PS-6, Bongaigaon, Chirang",,2013-12-02
48,2/2/1987,Gujarat,Baroda,Gujarat Pollution Control Board,Residential,19.6,25.4,,283.0,,,1987-02-02
45.0,2/2/1988,Bihar,Jharia,Bihar Pollution Control Board,Industrial Area,35.9,34.1,,670.0,,,1988-02-02
203.0,2/2/2004,Andhra Pradesh,Hyderabad,Andhra Pradesh State Pollution Control Board,Industrial Area,3.6,46.6,52.3,130.0,"Uppal, Modern Foods & Industries IDA, Hyderabad",,2004-02-02
,2/2/2005,Assam,Guwahati,,Residential and others,4.0,11.3,117.0,177.0,Head Office,,2005-02-02
,2/2/2006,Andhra Pradesh,Hyderabad,,Industrial Areas,6.2,24.1,54.0,172.0,Nacharam,,2006-02-02
,2/2/2007,Andhra Pradesh,Hyderabad,,Industrial Areas,5.6,36.4,113.0,327.0,Uppal,,2007-02-02
,2/2/2008,Andhra Pradesh,Hyderabad,,Industrial Areas,5.4,35.0,102.0,340.0,C.I.T.D. Balanagar,,2008-02-02
,2/2/2009,Andhra Pradesh,Hyderabad,,Industrial Areas,5.4,28.7,109.0,316.0,C.I.T.D. Balanagar,,2009-02-02
150.0,2/2/2010,Andhra Pradesh,Hyderabad,National Environmental Engineering Research Institute,"Residential, Rural and other Areas",7.0,35.0,124.0,,"Tarnaka, NEERI Lab. IICT Campus, Hyderabad",,2010-02-02
582.0,2/2/2011,Andhra Pradesh,Chittoor,Andhra Pradesh State Pollution Control Board,Sensitive Area,4.0,9.0,37.0,117.0,"GNC Toll Gate Tirumala , Chittoor Dist.",,2011-02-02
95.0,2/2/2012,Andhra Pradesh,Hyderabad,Andhra Pradesh State Pollution Control Board,Industrial Area,4.0,40.0,176.0,,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",,2012-02-02
542.0,2/2/2013,Assam,Bongaigaon,Assam State Pollution Control Board,"Residential, Rural and other Areas",6.0,14.0,52.0,,"Campus of Oil India Ltd. PS-6, Bongaigaon, Chirang",,2013-02-02
3.0,2/3/1987,Uttar Pradesh,Agra,Uttar Pradesh Pollution Control Board,Industrial,14.7,7.8,,274.0,,,1987-03-02
44.0,2/3/1988,Bihar,Dhanbad,Bihar Pollution Control Board,"Residential, Rural and other Areas",22.2,17.2,,265.0,,,1988-03-02
58,2/3/2003,Delhi,Delhi,Central Pollution Control Board,Industrial Area,8.0,26.0,97.0,200.0,,,2003-03-02
95.0,2/3/2004,Andhra Pradesh,Hyderabad,Andhra Pradesh State Pollution Control Board,Industrial Area,5.2,41.6,60.3,157.7,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",,2004-03-02
,2/3/2005,Andhra Pradesh,Hyderabad,,Residential and others,4.6,37.8,87.0,247.0,Charminar,,2005-03-02
,2/3/2006,Andhra Pradesh,Hyderabad,,Residential and others,4.0,34.0,82.0,197.0,Mourya Inn,,2006-03-02
,2/3/2007,Andhra Pradesh,Hyderabad,,Sensitive Areas,4.4,18.3,49.0,135.0,Zoo Park,,2007-03-02
,2/3/2008,Andhra Pradesh,Hyderabad,,Residential and others,5.1,35.0,68.0,174.0,Charminar,,2008-03-02
,2/3/2009,Andhra Pradesh,Hyderabad,,Industrial Areas,5.7,24.3,61.0,123.0,Nacharam,,2009-03-02
468.0,2/3/2011,Andhra Pradesh,Patancheru,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6.0,22.0,121.0,,"Police Station, Medak, Patencheru",,2011-03-02
578.0,2/3/2012,Andhra Pradesh,Kakinada,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",,,55.0,,"Top of the Office Building Ramanayyapeta, Kakinada",,2012-03-02
748.0,2/3/2013,Andhra Pradesh,Ananthapur,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4.0,9.0,65.0,,"Kamalanagar, Ananthapur",,2013-03-02
49,2/4/1987,Gujarat,Baroda,Gujarat Pollution Control Board,Industrial,59.1,46.1,,255.0,,,1987-04-02
56,2/4/2003,Delhi,Delhi,Central Pollution Control Board,Industrial Area,7.0,32.0,129.0,407.0,,,2003-04-02
233.0,2/4/2004,Andhra Pradesh,Visakhapatnam,Andhra Pradesh State Pollution Control Board,Industrial Area,10.0,31.0,107.0,160.0,"Industrial Estate, Marripalem, Visakhapatnam",,2004-04-02
,2/4/2005,Andhra Pradesh,Hyderabad,,Industrial Areas,4.4,34.6,71.0,186.0,C.I.T.D. Balanagar,,2005-04-02
,2/4/2006,Andhra Pradesh,Vijayawada,,Industrial Areas,5.8,32.3,84.0,246.0,Autonagar,,2006-04-02
,2/4/2007,Andhra Pradesh,Hyderabad,,Industrial Areas,5.0,37.8,94.0,268.0,C.I.T.D. Balanagar,,2007-04-02
,2/4/2008,Andhra Pradesh,Hyderabad,,Industrial Areas,5.5,35.0,98.0,341.0,C.I.T.D. Balanagar,,2008-04-02
,2/4/2009,Andhra Pradesh,Hyderabad,,Industrial Areas,4.8,28.7,115.0,330.0,C.I.T.D. Balanagar,,2009-04-02
583.0,2/4/2010,Andhra Pradesh,Guntur,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",2.0,14.0,94.0,,"Near Hindu College, Market Road, Guntur",,2010-04-02
582.0,2/4/2011,Andhra Pradesh,Chittoor,Andhra Pradesh State Pollution Control Board,Sensitive Area,4.0,9.0,38.0,119.0,"GNC Toll Gate Tirumala , Chittoor Dist.",,2011-04-02
581.0,2/4/2012,Andhra Pradesh,Khammam,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",5.0,10.0,57.0,,"CER Club,S.C.C.L. township, writter basti, Kothagudem, Khammam Dist.",,2012-04-02
751.0,2/4/2013,Andhra Pradesh,Srikakulam,Andhra Pradesh State Pollution Control Board,Industrial Area,2.0,5.0,32.0,,"IDA, Pydibheemavaram, Srikakulam",,2013-04-02
9,2/5/1987,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial,42.0,105.7,,507.0,,,1987-05-02
55,2/5/2003,Delhi,Delhi,Central Pollution Control Board,Industrial Area,11.0,42.0,155.0,192.0,,,2003-05-02
210.0,2/5/2004,Bihar,Patna,Bihar Sate Pollution Control Board,"Residential, Rural and other Areas",16.0,32.0,96.0,157.0,"Beltron Bhawan, Shastri Nagar, Patna",,2004-05-02
,2/5/2005,Chandigarh,Chandigarh,,Industrial Areas,5.0,17.0,153.0,403.0,Modern Foods,,2005-05-02
,2/5/2006,Andhra Pradesh,Vijayawada,,Residential and others,4.7,33.0,88.0,155.0,Benz Circle,,2006-05-02
,2/5/2007,Andhra Pradesh,Hyderabad,,Industrial Areas,7.0,12.1,86.0,172.0,Nacharam,,2007-05-02
,2/5/2008,Andhra Pradesh,Hyderabad,,Industrial Areas,2.8,11.2,44.0,109.0,Nacharam,,2008-05-02
,2/5/2009,Andhra Pradesh,Hyderabad,,Residential and others,5.5,26.5,120.0,344.0,Charminar,,2009-05-02
582.0,2/5/2010,Andhra Pradesh,Chittoor,Andhra Pradesh State Pollution Control Board,Sensitive Area,4.0,9.0,41.0,,"GNC Toll Gate Tirumala , Chittoor Dist.",,2010-05-02
95.0,2/5/2011,Andhra Pradesh,Hyderabad,Andhra Pradesh State Pollution Control Board,Industrial Area,5.0,32.0,147.0,353.0,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",,2011-05-02
154,2/5/2012,Gujarat,Ahmedabad,National Environmental Engineering Research Institute,Industrial Area,12.0,18.0,88.0,,"Shardaben Hospital, Saraspur, Ahmadabad",,2012-05-02
542.0,2/5/2013,Assam,Bongaigaon,Assam State Pollution Control Board,"Residential, Rural and other Areas",6.0,13.0,54.0,,"Campus of Oil India Ltd. PS-6, Bongaigaon, Chirang",,2013-05-02
58,2/6/2003,Delhi,Delhi,Central Pollution Control Board,Industrial Area,12.0,41.0,129.0,405.0,,,2003-06-02
95.0,2/6/2004,Andhra Pradesh,Hyderabad,Andhra Pradesh State Pollution Control Board,Industrial Area,5.1,86.2,126.7,317.0,"C.I.T.D., Balanagar, Plot no. A1 to A8, IDA, Hyderabad",,2004-06-02
,2/6/2005,Maharashtra,Thane,,Residential and others,6.7,10.9,49.0,,Kopri,,2005-06-02
,2/6/2006,Andhra Pradesh,Hyderabad,,Industrial Areas,,11.3,46.0,154.0,Nacharam,,2006-06-02
,2/6/2007,Assam,Bongaigaon,,Residential and others,4.0,12.0,74.0,212.0,Barpara Office Bldg,,2007-06-02
,2/6/2008,Andhra Pradesh,Patancheru,,Residential and others,4.2,19.2,152.0,334.0,Police Station,,2008-06-02
,2/6/2009,Andhra Pradesh,Hyderabad,,Industrial Areas,4.0,20.3,80.0,154.0,Nacharam,,2009-06-02
539.0,2/6/2010,Assam,Golaghat,Assam State Pollution Control Board,"Residential, Rural and other Areas",7.0,16.0,133.0,,"Golaghat Office Building, Golaghat",,2010-06-02
577.0,2/6/2011,Andhra Pradesh,Nalgonda,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4.0,18.0,72.0,,"Beside Regional Office, APPCB Nalgonda",,2011-06-02
583.0,2/6/2012,Andhra Pradesh,Guntur,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",6.0,11.0,76.0,,"Near Hindu College, Market Road, Guntur",,2012-06-02
748.0,2/6/2013,Andhra Pradesh,Ananthapur,Andhra Pradesh State Pollution Control Board,"Residential, Rural and other Areas",4.0,9.0,71.0,,"Kamalanagar, Ananthapur",,2013-06-02
56,2/7/2003,Delhi,Delhi,Central Pollution Control Board,Industrial Area,7.0,33.0,131.0,397.0,,,2003-07-02
233.0,2/7/2004,Andhra Pradesh,Visakhapatnam,Andhra Pradesh State Pollution Control Board,Industrial Area,7.0,28.0,105.0,151.0,"Industrial Estate, Marripalem, Visakhapatnam",,2004-07-02
,2/7/2005,Andhra Pradesh,Hyderabad,,Industrial Areas,8.3,21.3,43.0,93.0,Nacharam,,2005-07-02
,2/7/2006,Andhra Pradesh,Hyderabad,,Sensitive Areas,4.9,15.6,91.0,178.0,Zoo Park,,2006-07-02
,2/7/2007,Andhra Pradesh,Hyderabad,,Industrial Areas,5.8,16.4,56.0,121.0,Nacharam,,2007-07-02
